Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast,AQI,AQI_Category,RawConc,ConcUnit,Duration,QC_Name
Kolkata,PM2.5 - Principal,1/1/2016 1:00,2016,1,1,1,419,446,Hazardous,399,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 2:00,2016,1,1,2,410,440,Hazardous,401,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 3:00,2016,1,1,3,411,441,Hazardous,412,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 4:00,2016,1,1,4,396.5,431,Hazardous,382,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 5:00,2016,1,1,5,391.2,428,Hazardous,383,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 6:00,2016,1,1,6,404.2,436,Hazardous,418,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 7:00,2016,1,1,7,477.3,485,Hazardous,604,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 8:00,2016,1,1,8,473.6,482,Hazardous,467,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 9:00,2016,1,1,9,511.5,507,Hazardous,576,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 10:00,2016,1,1,10,524,516,Hazardous,545,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 11:00,2016,1,1,11,386.4,425,Hazardous,235,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 12:00,2016,1,1,12,331.6,381,Hazardous,277,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 13:00,2016,1,1,13,282.3,333,Hazardous,233,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 14:00,2016,1,1,14,249.6,299,Very Unhealthy,217,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 15:00,2016,1,1,15,233.7,283,Very Unhealthy,218,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 16:00,2016,1,1,16,220.8,271,Very Unhealthy,208,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 17:00,2016,1,1,17,220.9,271,Very Unhealthy,221,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 18:00,2016,1,1,18,234.9,285,Very Unhealthy,249,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 19:00,2016,1,1,19,297.9,348,Hazardous,361,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 20:00,2016,1,1,20,369.9,414,Hazardous,442,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2016 21:00,2016,1,1,21,447.9,465,Hazardous,526,UG/M3,1 Hr,Valid
