Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast,AQI,AQI_Category,RawConc,ConcUnit,Duration,QC_Name
Kolkata,PM2.5 - Principal,1/1/2018 23:00,2018,1,1,23,243.6,293,Very Unhealthy,299,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 0:00,2018,1,2,0,300.8,351,Hazardous,358,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 1:00,2018,1,2,1,294.9,345,Hazardous,289,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 2:00,2018,1,2,2,301.9,352,Hazardous,309,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 3:00,2018,1,2,3,291.5,342,Hazardous,281,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 4:00,2018,1,2,4,250.7,301,Hazardous,210,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 5:00,2018,1,2,5,215.3,265,Very Unhealthy,180,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 6:00,2018,1,2,6,202.7,253,Very Unhealthy,190,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 7:00,2018,1,2,7,194.8,245,Very Unhealthy,187,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 8:00,2018,1,2,8,194,244,Very Unhealthy,193,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 9:00,2018,1,2,9,199.4,249,Very Unhealthy,205,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 10:00,2018,1,2,10,197.7,248,Very Unhealthy,196,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 11:00,2018,1,2,11,193.3,243,Very Unhealthy,189,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 12:00,2018,1,2,12,185.8,236,Very Unhealthy,175,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 13:00,2018,1,2,13,156,206,Very Unhealthy,128,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 14:00,2018,1,2,14,125,187,Unhealthy,94,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 15:00,2018,1,2,15,100.9,174,Unhealthy,77,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 16:00,2018,1,2,16,95.4,172,Unhealthy,90,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 17:00,2018,1,2,17,89.7,169,Unhealthy,84,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 18:00,2018,1,2,18,94.8,171,Unhealthy,100,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 19:00,2018,1,2,19,100.4,174,Unhealthy,106,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 20:00,2018,1,2,20,100.3,174,Unhealthy,-999,UG/M3,1 Hr,Missing
Kolkata,PM2.5 - Principal,1/2/2018 21:00,2018,1,2,21,140.1,195,Unhealthy,160,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 22:00,2018,1,2,22,150.9,201,Very Unhealthy,159,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/2/2018 23:00,2018,1,2,23,169,219,Very Unhealthy,185,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 0:00,2018,1,3,0,178.3,229,Very Unhealthy,187,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 1:00,2018,1,3,1,178.1,228,Very Unhealthy,178,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 2:00,2018,1,3,2,212.3,262,Very Unhealthy,246,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 3:00,2018,1,3,3,212.7,263,Very Unhealthy,213,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 4:00,2018,1,3,4,194.3,244,Very Unhealthy,176,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 5:00,2018,1,3,5,176.6,227,Very Unhealthy,159,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 6:00,2018,1,3,6,166.8,217,Very Unhealthy,157,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 7:00,2018,1,3,7,171.5,222,Very Unhealthy,169,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 8:00,2018,1,3,8,178.6,229,Very Unhealthy,191,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 9:00,2018,1,3,9,188.6,239,Very Unhealthy,206,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 10:00,2018,1,3,10,191.3,241,Very Unhealthy,196,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 11:00,2018,1,3,11,183.9,234,Very Unhealthy,171,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 12:00,2018,1,3,12,178.5,229,Very Unhealthy,169,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 13:00,2018,1,3,13,155.9,206,Very Unhealthy,132,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 14:00,2018,1,3,14,148.2,199,Unhealthy,130,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 15:00,2018,1,3,15,141.5,195,Unhealthy,129,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 16:00,2018,1,3,16,134.3,192,Unhealthy,125,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 17:00,2018,1,3,17,123.3,186,Unhealthy,113,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 18:00,2018,1,3,18,124.5,187,Unhealthy,126,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 19:00,2018,1,3,19,134.2,192,Unhealthy,146,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 20:00,2018,1,3,20,176.1,226,Very Unhealthy,220,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 21:00,2018,1,3,21,216.7,267,Very Unhealthy,256,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 22:00,2018,1,3,22,251.8,302,Hazardous,287,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/3/2018 23:00,2018,1,3,23,307.4,357,Hazardous,363,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 0:00,2018,1,4,0,253.2,304,Hazardous,199,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 1:00,2018,1,4,1,205.1,255,Very Unhealthy,157,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 2:00,2018,1,4,2,176.5,227,Very Unhealthy,148,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 3:00,2018,1,4,3,153.2,204,Very Unhealthy,130,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 4:00,2018,1,4,4,144.1,197,Unhealthy,135,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 5:00,2018,1,4,5,146,198,Unhealthy,148,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 6:00,2018,1,4,6,152.5,203,Very Unhealthy,159,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 7:00,2018,1,4,7,152.7,203,Very Unhealthy,153,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 8:00,2018,1,4,8,160.8,211,Very Unhealthy,169,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 9:00,2018,1,4,9,173.4,224,Very Unhealthy,186,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 10:00,2018,1,4,10,176.2,226,Very Unhealthy,179,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 11:00,2018,1,4,11,171.6,222,Very Unhealthy,172,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 12:00,2018,1,4,12,179.2,229,Very Unhealthy,195,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 13:00,2018,1,4,13,174.1,224,Very Unhealthy,164,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 14:00,2018,1,4,14,166.4,217,Very Unhealthy,151,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 15:00,2018,1,4,15,165.1,215,Very Unhealthy,161,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 16:00,2018,1,4,16,166,216,Very Unhealthy,165,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 17:00,2018,1,4,17,167.3,218,Very Unhealthy,170,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 18:00,2018,1,4,18,167.8,218,Very Unhealthy,169,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 19:00,2018,1,4,19,181.9,232,Very Unhealthy,215,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 20:00,2018,1,4,20,205,255,Very Unhealthy,239,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 21:00,2018,1,4,21,242.1,292,Very Unhealthy,278,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 22:00,2018,1,4,22,268.9,319,Hazardous,294,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/4/2018 23:00,2018,1,4,23,286.1,336,Hazardous,302,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 0:00,2018,1,5,0,266.5,317,Hazardous,247,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 1:00,2018,1,5,1,234.8,285,Very Unhealthy,203,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 2:00,2018,1,5,2,221,271,Very Unhealthy,203,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 3:00,2018,1,5,3,213.7,264,Very Unhealthy,204,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 4:00,2018,1,5,4,216,266,Very Unhealthy,218,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 5:00,2018,1,5,5,221.7,272,Very Unhealthy,229,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 6:00,2018,1,5,6,231.2,281,Very Unhealthy,247,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 7:00,2018,1,5,7,244.4,294,Very Unhealthy,271,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 8:00,2018,1,5,8,249.9,300,Very Unhealthy,261,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 9:00,2018,1,5,9,256.1,307,Hazardous,269,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 10:00,2018,1,5,10,257.6,308,Hazardous,261,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 11:00,2018,1,5,11,253.7,304,Hazardous,-999,UG/M3,1 Hr,Missing
Kolkata,PM2.5 - Principal,1/5/2018 12:00,2018,1,5,12,257.1,308,Hazardous,264,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 13:00,2018,1,5,13,258.7,309,Hazardous,261,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 14:00,2018,1,5,14,241.2,291,Very Unhealthy,199,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 15:00,2018,1,5,15,211.1,261,Very Unhealthy,172,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 16:00,2018,1,5,16,156.9,207,Very Unhealthy,116,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 17:00,2018,1,5,17,131.7,190,Unhealthy,107,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 18:00,2018,1,5,18,121.3,185,Unhealthy,111,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 19:00,2018,1,5,19,152.7,203,Very Unhealthy,184,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 20:00,2018,1,5,20,204.9,255,Very Unhealthy,257,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 21:00,2018,1,5,21,231.4,281,Very Unhealthy,258,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 22:00,2018,1,5,22,255.2,306,Hazardous,279,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/5/2018 23:00,2018,1,5,23,334.1,384,Hazardous,413,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 0:00,2018,1,6,0,429.1,453,Hazardous,524,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 1:00,2018,1,6,1,475.5,484,Hazardous,522,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 2:00,2018,1,6,2,440.8,461,Hazardous,406,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 3:00,2018,1,6,3,455.4,470,Hazardous,470,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 4:00,2018,1,6,4,428.2,452,Hazardous,401,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 5:00,2018,1,6,5,355.6,404,Hazardous,283,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 6:00,2018,1,6,6,289.8,340,Hazardous,224,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 7:00,2018,1,6,7,254.9,305,Hazardous,220,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 8:00,2018,1,6,8,247.4,297,Very Unhealthy,240,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 9:00,2018,1,6,9,261.7,312,Hazardous,276,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 10:00,2018,1,6,10,251.8,302,Hazardous,242,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 11:00,2018,1,6,11,226.4,276,Very Unhealthy,201,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 12:00,2018,1,6,12,195.6,246,Very Unhealthy,165,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 13:00,2018,1,6,13,165.2,216,Very Unhealthy,135,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 14:00,2018,1,6,14,135.6,192,Unhealthy,106,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 15:00,2018,1,6,15,115.7,182,Unhealthy,96,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 16:00,2018,1,6,16,103.3,176,Unhealthy,91,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 17:00,2018,1,6,17,91.1,169,Unhealthy,79,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 18:00,2018,1,6,18,95.5,172,Unhealthy,100,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 19:00,2018,1,6,19,146.7,198,Unhealthy,198,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 20:00,2018,1,6,20,199.3,249,Very Unhealthy,252,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 21:00,2018,1,6,21,224.6,274,Very Unhealthy,250,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 22:00,2018,1,6,22,250.8,301,Hazardous,277,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/6/2018 23:00,2018,1,6,23,253.4,304,Hazardous,256,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 0:00,2018,1,7,0,267.2,318,Hazardous,281,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 1:00,2018,1,7,1,292.6,343,Hazardous,318,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 2:00,2018,1,7,2,315.3,365,Hazardous,338,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 3:00,2018,1,7,3,286.6,337,Hazardous,258,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 4:00,2018,1,7,4,240.3,290,Very Unhealthy,194,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 5:00,2018,1,7,5,224.6,274,Very Unhealthy,209,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 6:00,2018,1,7,6,228.5,278,Very Unhealthy,225,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 7:00,2018,1,7,7,231.7,281,Very Unhealthy,236,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 8:00,2018,1,7,8,241.6,291,Very Unhealthy,255,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 9:00,2018,1,7,9,255,305,Hazardous,273,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 10:00,2018,1,7,10,267.7,318,Hazardous,285,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 11:00,2018,1,7,11,249.5,299,Very Unhealthy,225,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 12:00,2018,1,7,12,203,253,Very Unhealthy,158,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 13:00,2018,1,7,13,165.5,216,Very Unhealthy,128,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 14:00,2018,1,7,14,141.7,196,Unhealthy,118,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 15:00,2018,1,7,15,116.8,183,Unhealthy,92,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 16:00,2018,1,7,16,98.9,173,Unhealthy,81,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 17:00,2018,1,7,17,110.9,180,Unhealthy,123,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 18:00,2018,1,7,18,116.4,182,Unhealthy,122,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 19:00,2018,1,7,19,131.2,190,Unhealthy,146,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 20:00,2018,1,7,20,157.6,208,Very Unhealthy,184,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 21:00,2018,1,7,21,191.2,241,Very Unhealthy,225,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 22:00,2018,1,7,22,203.6,254,Very Unhealthy,216,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/7/2018 23:00,2018,1,7,23,231.8,282,Very Unhealthy,260,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 0:00,2018,1,8,0,247.4,297,Very Unhealthy,263,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 1:00,2018,1,8,1,265.2,316,Hazardous,283,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 2:00,2018,1,8,2,266.1,316,Hazardous,267,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 3:00,2018,1,8,3,231.5,281,Very Unhealthy,197,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 4:00,2018,1,8,4,207.3,257,Very Unhealthy,183,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 5:00,2018,1,8,5,197.1,247,Very Unhealthy,187,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 6:00,2018,1,8,6,202.4,252,Very Unhealthy,207,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 7:00,2018,1,8,7,213.4,263,Very Unhealthy,225,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 8:00,2018,1,8,8,224.3,274,Very Unhealthy,244,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 9:00,2018,1,8,9,234.1,284,Very Unhealthy,252,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 10:00,2018,1,8,10,236.6,286,Very Unhealthy,241,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 11:00,2018,1,8,11,231,281,Very Unhealthy,221,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 12:00,2018,1,8,12,220.3,270,Very Unhealthy,201,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 13:00,2018,1,8,13,217.7,268,Very Unhealthy,211,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 14:00,2018,1,8,14,198.2,248,Very Unhealthy,164,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 15:00,2018,1,8,15,182.2,232,Very Unhealthy,158,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 16:00,2018,1,8,16,170.4,221,Very Unhealthy,154,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 17:00,2018,1,8,17,164.8,215,Very Unhealthy,156,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 18:00,2018,1,8,18,161.3,212,Very Unhealthy,156,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 19:00,2018,1,8,19,186.4,237,Very Unhealthy,226,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 20:00,2018,1,8,20,231.4,281,Very Unhealthy,282,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 21:00,2018,1,8,21,250.3,300,Very Unhealthy,273,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 22:00,2018,1,8,22,292.5,343,Hazardous,330,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/8/2018 23:00,2018,1,8,23,276.2,326,Hazardous,260,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 0:00,2018,1,9,0,257.1,308,Hazardous,238,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 1:00,2018,1,9,1,256,306,Hazardous,255,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 2:00,2018,1,9,2,259.5,310,Hazardous,263,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 3:00,2018,1,9,3,248.7,298,Very Unhealthy,238,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 4:00,2018,1,9,4,243.9,294,Very Unhealthy,239,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 5:00,2018,1,9,5,243.4,293,Very Unhealthy,243,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 6:00,2018,1,9,6,248.8,298,Very Unhealthy,252,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 7:00,2018,1,9,7,245.6,295,Very Unhealthy,236,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 8:00,2018,1,9,8,242.6,292,Very Unhealthy,236,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/9/2018 9:00,2018,1,9,9,247.2,297,Very Unhealthy,259,UG/M3,1 Hr,Valid
