Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast,AQI,AQI_Category,RawConc,ConcUnit,Duration,QC_Name
Kolkata,PM2.5 - Principal,1/1/2018 1:00,2018,1,1,1,285.8,336,Hazardous,290,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 2:00,2018,1,1,2,351.4,402,Hazardous,417,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 3:00,2018,1,1,3,340.2,390,Hazardous,329,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 4:00,2018,1,1,4,283.1,333,Hazardous,226,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 5:00,2018,1,1,5,220,270,Very Unhealthy,157,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 6:00,2018,1,1,6,182.5,233,Very Unhealthy,145,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 7:00,2018,1,1,7,162.7,213,Very Unhealthy,143,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 8:00,2018,1,1,8,151.8,202,Very Unhealthy,141,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 9:00,2018,1,1,9,152.9,203,Very Unhealthy,154,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 10:00,2018,1,1,10,141.9,196,Unhealthy,131,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 11:00,2018,1,1,11,133.9,191,Unhealthy,126,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 12:00,2018,1,1,12,124.9,187,Unhealthy,116,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 13:00,2018,1,1,13,118.9,184,Unhealthy,113,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 14:00,2018,1,1,14,107.9,178,Unhealthy,97,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 15:00,2018,1,1,15,98.9,173,Unhealthy,90,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 16:00,2018,1,1,16,106.5,177,Unhealthy,113,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 17:00,2018,1,1,17,109.7,179,Unhealthy,114,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 18:00,2018,1,1,18,111.4,180,Unhealthy,114,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 19:00,2018,1,1,19,120.4,185,Unhealthy,133,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 20:00,2018,1,1,20,134.9,192,Unhealthy,155,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 21:00,2018,1,1,21,162.3,213,Very Unhealthy,186,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,1/1/2018 22:00,2018,1,1,22,188.1,238,Very Unhealthy,214,UG/M3,1 Hr,Valid
