date,time,temp_celsius,spcond_msPERcm,ph,do_mgPerL,do_Percent,turbidity_fnu,chlorophyll_rfu,phycocyanin_rfu,sysbattery_volts
6/8/2016,14:15:00,22.75,1.18,7.73,7.9,91.96,2.61,1.5,0.28,13.81
6/8/2016,14:30:00,22.69,1.17,7.65,7.71,89.66,2.52,1.53,0.28,13.16
6/8/2016,14:45:00,22.73,1.17,7.68,7.8,90.8,2.46,1.48,0.26,13.23
6/8/2016,15:00:00,22.78,1.16,7.72,7.93,92.34,2.6,1.36,0.23,13.85
6/8/2016,15:15:00,22.86,1.16,7.8,8.2,95.61,2.43,1.39,0.24,13.26
6/8/2016,15:30:00,22.83,1.16,7.79,,,2.4,1.33,0.25,13.85
6/8/2016,15:45:00,22.87,1.16,7.83,,,2.62,1.44,0.28,13.95
6/8/2016,16:00:00,22.89,1.17,7.85,,,2.49,1.38,0.27,13.87
6/8/2016,16:15:00,22.92,1.16,7.83,,,2.57,1.48,0.25,13.26
6/8/2016,16:30:00,23.04,1.17,7.86,,,2.56,1.31,0.23,13.24
6/8/2016,16:45:00,22.95,1.16,7.84,,,2.5,1.61,0.27,13.22
6/8/2016,17:00:00,23.03,1.17,7.92,,,2.35,1.47,0.22,13.25
6/8/2016,17:15:00,23.08,1.16,8.57,,,2.09,1.35,0.23,13.26
6/8/2016,17:30:00,23.05,1.16,8.67,,,2.2,1.4,0.26,13.34
6/8/2016,17:45:00,23.01,1.16,8.57,,,2.08,1.21,0.21,13.33
6/8/2016,18:00:00,22.95,1.16,8.66,,,2.08,1.3,0.27,13.16
6/8/2016,18:15:00,22.92,1.16,8.49,,,2.04,1.25,0.2,13.09
6/8/2016,18:30:00,22.91,1.16,8.49,,,2.11,1.2,0.24,13.16
6/8/2016,18:45:00,22.86,1.16,8.5,,,2,1.15,0.22,13.06
6/8/2016,19:00:00,22.82,1.17,8.44,,,2.05,1.28,0.21,13.05
6/8/2016,19:15:00,22.76,1.17,8.41,,,1.99,1.3,0.21,13.03
