Agency,Site,Site AQS,Param,Param AQS,POC,Method,Duration,Date (LST),Unit,Concentration
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,5/30/2018,UG/M3,2.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,5/31/2018,UG/M3,2.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/1/2018,UG/M3,2.5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/2/2018,UG/M3,2.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/3/2018,UG/M3,3.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/4/2018,UG/M3,2.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/5/2018,UG/M3,2.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/6/2018,UG/M3,3.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/7/2018,UG/M3,3.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/8/2018,UG/M3,4.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/9/2018,UG/M3,2.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/10/2018,UG/M3,2.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/11/2018,UG/M3,2.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/12/2018,UG/M3,2.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/13/2018,UG/M3,1.9
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/14/2018,UG/M3,1.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/15/2018,UG/M3,3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/16/2018,UG/M3,5.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,6/17/2018,UG/M3,5.9
