Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Billlings Lockw/301110087/PM2.5-88101/3,4/2/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,4/3/2018,10.3
Billlings Lockw/301110087/PM2.5-88101/3,4/4/2018,10.7
Billlings Lockw/301110087/PM2.5-88101/3,4/5/2018,9.2
Billlings Lockw/301110087/PM2.5-88101/3,4/6/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,4/7/2018,10.3
Billlings Lockw/301110087/PM2.5-88101/3,4/8/2018,7
Billlings Lockw/301110087/PM2.5-88101/3,4/9/2018,8.8
Billlings Lockw/301110087/PM2.5-88101/3,4/10/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,4/11/2018,4.8
Billlings Lockw/301110087/PM2.5-88101/3,4/12/2018,4.2
Billlings Lockw/301110087/PM2.5-88101/3,4/13/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,4/14/2018,7.6
Billlings Lockw/301110087/PM2.5-88101/3,4/15/2018,7.8
Billlings Lockw/301110087/PM2.5-88101/3,4/16/2018,6.2
Billlings Lockw/301110087/PM2.5-88101/3,4/17/2018,2.2
Billlings Lockw/301110087/PM2.5-88101/3,4/18/2018,5.1
Billlings Lockw/301110087/PM2.5-88101/3,4/19/2018,4
Billlings Lockw/301110087/PM2.5-88101/3,4/20/2018,7.6
Billlings Lockw/301110087/PM2.5-88101/3,4/21/2018,7.5
Billlings Lockw/301110087/PM2.5-88101/3,4/22/2018,4.9
Billlings Lockw/301110087/PM2.5-88101/3,4/23/2018,5.4
Billlings Lockw/301110087/PM2.5-88101/3,4/24/2018,5.8
Billlings Lockw/301110087/PM2.5-88101/3,4/25/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,4/26/2018,8.7
Billlings Lockw/301110087/PM2.5-88101/3,4/27/2018,8.6
Billlings Lockw/301110087/PM2.5-88101/3,4/28/2018,5.6
Billlings Lockw/301110087/PM2.5-88101/3,4/29/2018,5.1
Billlings Lockw/301110087/PM2.5-88101/3,4/30/2018,3.6
Billlings Lockw/301110087/PM2.5-88101/3,5/1/2018,4.4
Billlings Lockw/301110087/PM2.5-88101/3,5/2/2018,9.3
