"Agency","Site","Site AQS","Param","Param AQS","POC","Method","Duration","Date (LST)","Unit","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Average","Max"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/01/2018","UG/M3","5.5","","","","","","","","","","","","","","","","","","","","","","","","5.5","5.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/02/2018","UG/M3","6.1","","","","","","","","","","","","","","","","","","","","","","","","6.1","6.1"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/03/2018","UG/M3","7.4","","","","","","","","","","","","","","","","","","","","","","","","7.4","7.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/04/2018","UG/M3","8.0","","","","","","","","","","","","","","","","","","","","","","","","8.0","8.0"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/05/2018","UG/M3","5.6","","","","","","","","","","","","","","","","","","","","","","","","5.6","5.6"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/06/2018","UG/M3","6.3","","","","","","","","","","","","","","","","","","","","","","","","6.3","6.3"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/07/2018","UG/M3","4.5","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/08/2018","UG/M3","5.8","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.8"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/09/2018","UG/M3","7.3","","","","","","","","","","","","","","","","","","","","","","","","7.3","7.3"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/10/2018","UG/M3","6.2","","","","","","","","","","","","","","","","","","","","","","","","6.2","6.2"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/11/2018","UG/M3","4.0","","","","","","","","","","","","","","","","","","","","","","","","4.0","4.0"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/12/2018","UG/M3","3.4","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/13/2018","UG/M3","3.0","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/14/2018","UG/M3","5.4","","","","","","","","","","","","","","","","","","","","","","","","5.4","5.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/15/2018","UG/M3","7.0","","","","","","","","","","","","","","","","","","","","","","","","7.0","7.0"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/16/2018","UG/M3","5.4","","","","","","","","","","","","","","","","","","","","","","","","5.4","5.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/17/2018","UG/M3","5.3","","","","","","","","","","","","","","","","","","","","","","","","5.3","5.3"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/18/2018","UG/M3","5.8","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.8"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/19/2018","UG/M3","3.5","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/20/2018","UG/M3","4.5","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/21/2018","UG/M3","3.7","","","","","","","","","","","","","","","","","","","","","","","","3.7","3.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/22/2018","UG/M3","5.4","","","","","","","","","","","","","","","","","","","","","","","","5.4","5.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/23/2018","UG/M3","3.0","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/24/2018","UG/M3","3.5","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/25/2018","UG/M3","3.2","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.2"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/26/2018","UG/M3","3.6","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.6"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/27/2018","UG/M3","4.4","","","","","","","","","","","","","","","","","","","","","","","","4.4","4.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/28/2018","UG/M3","2.9","","","","","","","","","","","","","","","","","","","","","","","","2.9","2.9"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/29/2018","UG/M3","4.5","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/30/2018","UG/M3","6.1","","","","","","","","","","","","","","","","","","","","","","","","6.1","6.1"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","01/31/2018","UG/M3","5.5","","","","","","","","","","","","","","","","","","","","","","","","5.5","5.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/01/2018","UG/M3","3.4","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.4"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/02/2018","UG/M3","3.3","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.3"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/03/2018","UG/M3","2.7","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/04/2018","UG/M3","2.3","","","","","","","","","","","","","","","","","","","","","","","","2.3","2.3"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/05/2018","UG/M3","2.7","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/06/2018","UG/M3","4.6","","","","","","","","","","","","","","","","","","","","","","","","4.6","4.6"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/07/2018","UG/M3","4.6","","","","","","","","","","","","","","","","","","","","","","","","4.6","4.6"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/08/2018","UG/M3","3.2","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.2"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/09/2018","UG/M3","5.6","","","","","","","","","","","","","","","","","","","","","","","","5.6","5.6"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","02/10/2018","UG/M3","6.4","","","","","","","","","","","","","","","","","","","","","","","","6.4","6.4"
