Agency,Site,Site AQS,Param,Param AQS,POC,Method,Duration,Date (LST),Unit,Concentration
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/17/2018,UG/M3,3.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/18/2018,UG/M3,3.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/19/2018,UG/M3,5.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/20/2018,UG/M3,5.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/21/2018,UG/M3,7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/22/2018,UG/M3,5.5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/23/2018,UG/M3,6.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/24/2018,UG/M3,5.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/25/2018,UG/M3,5.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/26/2018,UG/M3,11.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/27/2018,UG/M3,8.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,2/28/2018,UG/M3,4.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/1/2018,UG/M3,4.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/2/2018,UG/M3,2.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/3/2018,UG/M3,5.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/4/2018,UG/M3,6.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/5/2018,UG/M3,4.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/6/2018,UG/M3,4.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/7/2018,UG/M3,3.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/8/2018,UG/M3,4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/9/2018,UG/M3,4.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/10/2018,UG/M3,5.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/11/2018,UG/M3,5.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/12/2018,UG/M3,4.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/13/2018,UG/M3,3.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/14/2018,UG/M3,5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/15/2018,UG/M3,4.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/16/2018,UG/M3,8.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/17/2018,UG/M3,8.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/18/2018,UG/M3,3.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/19/2018,UG/M3,4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/20/2018,UG/M3,4.5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/21/2018,UG/M3,5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/22/2018,UG/M3,2.9
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/23/2018,UG/M3,2.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/24/2018,UG/M3,4.5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/25/2018,UG/M3,3.7
